datetime,open,high,low,close,volume
2026-03-05 11:06:00,591.175,592.8742,590.4,592.48,20943.027223
2026-03-05 11:07:00,592.8641,593,591.2501,592.04,20470.295917
2026-03-05 11:08:00,591.76,591.76,590.51,590.66,14074.131421
2026-03-05 11:09:00,590.4,590.7899,587.7,589.67,65701.172429
2026-03-05 11:10:00,589.3887,589.3887,587.7001,587.96,21443.61738
2026-03-05 11:11:00,587.96,589.54,587.4201,589.0001,27172.335047
2026-03-05 11:12:00,589,589.95,588.33,588.83,17463.453368
2026-03-05 11:13:00,588.835,590.7,588.835,589.9151,23135.049694
2026-03-05 11:14:00,590.3999,590.3999,588.38,589.6587,18903.195637
2026-03-05 11:15:00,589.395,589.56,587.7,588,24535.860445
2026-03-05 11:16:00,588.545,589.49,587,589.045,38509.818094
2026-03-05 11:17:00,589.0301,589.0301,587.4901,588.3,16357.106769
2026-03-05 11:18:00,588.3,589.18,588.1875,588.75,19058.798682
2026-03-05 11:19:00,588.6,588.99,587.17,587.83,28965.262296
2026-03-05 11:20:00,587.83,589.12,587.83,588.75,27079.680372
2026-03-05 11:21:00,588.925,588.925,587,587.79,29998.430782
2026-03-05 11:22:00,588.11,589.9899,587.945,589.745,33077.775789
2026-03-05 11:23:00,589.7963,590.3999,588,588.53,34374.813483
2026-03-05 11:24:00,588.6475,588.6475,587.25,587.26,20073.646167
2026-03-05 11:25:00,587.57,588.78,586.7501,587.555,46241.757225
2026-03-05 11:26:00,587.5,587.5,585.6001,586.41,47382.166847
2026-03-05 11:27:00,586.1675,586.67,585.6401,586.285,24247.506285
2026-03-05 11:28:00,586.05,587,585.99,586.26,20616.227654
2026-03-05 11:29:00,586.26,587.38,585.91,587.11,27931.524748
2026-03-05 11:30:00,586.99,587.5999,586.5575,586.995,20015.787411
2026-03-05 11:31:00,587.1165,588,587.0001,587.9699,21562.033088
2026-03-05 11:32:00,587.37,587.97,586.25,586.545,22584.035607
2026-03-05 11:33:00,586.77,588.3112,586.675,587.585,19183.732862
2026-03-05 11:34:00,587.585,587.68,586.5,587.05,16339.004292
2026-03-05 11:35:00,587.05,587.6,586.5,587.25,7160.045451
2026-03-05 11:36:00,587.22,588.215,587.18,587.5,16998.389115
2026-03-05 11:37:00,587.425,588.7,587.1801,587.8801,18716.339289
2026-03-05 11:38:00,588.255,588.6999,587.48,587.66,12864.469281
2026-03-05 11:39:00,587.74,588.99,587.3301,587.75,12705.436669
2026-03-05 11:40:00,588,588.77,587.75,588.2,11898.1669
2026-03-05 11:41:00,587.99,588,586.04,586.345,27363.967868
2026-03-05 11:42:00,586.345,587.3799,585,586.62,52325.853581
2026-03-05 11:43:00,586.515,586.87,586.03,586.82,14324.273483
2026-03-05 11:44:00,587,587.4999,586.58,586.91,15020.720073
2026-03-05 11:45:00,586.905,588.2,586.12,587.6,41415.477392
2026-03-05 11:46:00,587.6,588.04,586.7,586.92,10981.353875
2026-03-05 11:47:00,586.91,587.77,586.59,587.65,10638.374878
2026-03-05 11:48:00,587.65,587.78,586.6,587.105,16311.243287
2026-03-05 11:49:00,587.105,587.5,585.6,585.895,18121.229659
2026-03-05 11:50:00,586,586.91,585.2901,586.5,17553.672784
2026-03-05 11:51:00,586.5,586.73,585.84,586.485,21656.489244
2026-03-05 11:52:00,586.485,586.77,585.7,586.2,24627.354634
2026-03-05 11:53:00,586.001,586.73,586,586.4,16331.185145
2026-03-05 11:54:00,586.365,586.8,586.0001,586.435,11099.610959
2026-03-05 11:55:00,586.435,586.435,582.5001,582.84,115135.727665
2026-03-05 11:56:00,582.755,583.99,582.27,582.45,81872.083495
2026-03-05 11:57:00,582.9662,583,582.25,582.66,21599.384143
2026-03-05 11:58:00,582.75,583.0012,581.26,581.62,61077.016973
2026-03-05 11:59:00,581.62,582,579.61,579.61,98435.82263
2026-03-05 12:00:00,579.88,580.7499,579.12,580,57408.214675
2026-03-05 12:01:00,579.985,579.99,578.01,579.4,52978.429236
2026-03-05 12:02:00,579.9,580.4,578.6,579.77,33521.827058
2026-03-05 12:03:00,579.7799,581.49,579,581.48,26702.360706
2026-03-05 12:04:00,581.49,582.48,581.0901,582,44966.309214
2026-03-05 12:05:00,581.9715,582.1,580.865,582,44010.434887
2026-03-05 12:06:00,582.05,582.4,580.7147,580.99,64430.128931
2026-03-05 12:07:00,580.52,580.8075,578.2501,578.915,38769.972854
2026-03-05 12:08:00,578.62,580.35,578.62,579.9,22533.542918
2026-03-05 12:09:00,580.044,580.75,578.5,578.7,26385.880663
2026-03-05 12:10:00,578.76,579.33,577.33,577.33,46456.999713
2026-03-05 12:11:00,577.27,579,577.12,578.82,33161.379124
2026-03-05 12:12:00,578.75,581,578.16,580.96,21163.977869
2026-03-05 12:13:00,580.7,580.98,578.99,579.36,26937.2674
2026-03-05 12:14:00,579.36,580.3785,579.01,580,15764.478104
2026-03-05 12:15:00,580.1325,580.2225,578.5001,578.62,23925.466082
2026-03-05 12:16:00,578.95,579.51,578.29,578.64,15910.087164
2026-03-05 12:17:00,578.4868,578.8699,577.72,578.0401,25880.538844
2026-03-05 12:18:00,578.04,578.22,577.25,577.435,33089.697405
2026-03-05 12:19:00,577.25,577.38,575.51,575.93,59837.171119
2026-03-05 12:20:00,576.26,576.9999,575.28,575.57,39487.008744
2026-03-05 12:21:00,575.64,575.89,574.01,574.52,81504.747361
2026-03-05 12:22:00,574.5525,577.41,574.5525,576.77,41280.041333
2026-03-05 12:23:00,576.77,577.2699,576.4201,576.71,24312.136661
2026-03-05 12:24:00,576.645,577.535,576.01,576.33,31756.122108
2026-03-05 12:25:00,576.33,576.8899,574.68,574.7,37314.995484
2026-03-05 12:26:00,574.6,575.54,574.0525,575.1799,32895.465837
2026-03-05 12:27:00,574.83,575.9999,574.11,574.7599,36212.443688
2026-03-05 12:28:00,575.13,575.9999,574.7,575.55,28919.87388
2026-03-05 12:29:00,575.5,575.8699,573.0001,573.62,36258.484556
2026-03-05 12:30:00,573.88,574.13,571.55,571.56,53328.866203
2026-03-05 12:31:00,571.775,571.775,569,569.33,84921.042486
2026-03-05 12:32:00,569.1458,569.48,568.0001,569.33,75541.803151
2026-03-05 12:33:00,569.22,570.67,568.5,569.035,52513.35993
2026-03-05 12:34:00,569.5199,569.5199,568.49,568.835,32567.722034
2026-03-05 12:35:00,568.835,570,568.2,568.6,51747.032936
2026-03-05 12:36:00,568.2001,569.3399,568,568.2001,36169.452269
2026-03-05 12:37:00,568.43,570.2699,567.5,569.94,78713.360607
